,title,rating,acidity_structure,aftertaste,aroma,body,flavor,blind_assessment,coffee_origin,notes,roast_level,city,state,usd_per_oz
669,Colombia Lagoon Java Anaerobic,93.0,8.0,8.0,9.0,9.0,9.0,"Fruit-forward, high-toned. Pink grapefruit zest, rhododendron, baking chocolate, agave syrup, freesia in aroma and cup. Sweet-toned structure with brisk acidity; very full, syrupy mouthfeel. Crisply sweet, floral-toned finish with citrus undertones.","Tolima Department, Colombia","Produced at Vergel Estate entirely of the Java variety of Arabica, and processed by the anaerobic natural method (whole fruit is fermented with limited oxygen before drying).  Big Shoulders Coffee is a Chicago artisan roaster that emphasizes a fresh-roasted, no-nonsense approach to fine coffee. Visit www.bigshoulderscoffee.com or call 312-846-1439 for more information. ",Medium-Light,Chicago, Illinois,2.08
670,Baby Dragons,94.0,9.0,8.0,9.0,9.0,9.0,"Juicy-sweet, fruit-driven. Lychee, tea rose, sandalwood, cashew, chocolate fudge in aroma and cup. Richly bittersweet structure with juicy, bright acidity; plush, syrupy mouthfeel. The resonant, long, flavor-laden finish centers around notes of lychee and chocolate.","Caicedonia, Valle de Cauca Department, Colombia",Produced by Rigoberto and Rodrigo Herrera at Finca Potosí of Café Granja Esperanza and processed by the natural method (beans are dried in the whole fruit). Nostalgia Coffee Roasters was founded by Taylor Fields in 2018 as a mobile café; it has since added specialty roasting and online sales of select fine coffees. Visit www.nostalgiacoffeeroasters.com for more information.,Medium-Light,San Diego, California,2.33
671,Panama Finca Santa Teresa Summer Gesha,94.0,9.0,8.0,9.0,9.0,9.0,"Delicately, richly perfumy. Guava, cocoa nib, frankincense, wild honey, lilac in aroma and cup. Sweet in structure with bright, vibrant acidity; silky, levitating mouthfeel. The deeply sweet finish centers around guava, cocoa nib and frankincense.","Finca Santa Teresa, Volcan, Panama","Produced at Finca Santa Teresa, entirely of the Gesha (also Geisha) variety of Arabica, and processed by the honey method, in which some sweet pulp or fruit flesh (“honey”) is allowed to adhere to the beans during drying. Big Shoulders Coffee is a Chicago artisan roaster that emphasizes a fresh-roasted, no-nonsense approach to fine coffee. Visit www.bigshoulderscoffee.com or call 312-846-1439 for more information. ",Medium-Light,Chicago, Illinois,7.25
672,El Jocote Natural,95.0,9.0,9.0,9.0,9.0,9.0,"Juicy, vibrant, tartly floral. Dried hibiscus, Meyer lemon zest, guava, cocoa nib, sandalwood in aroma and cup. Balanced, brightly sweet-tart structure with high-toned acidity; silky, viscous mouthfeel. Resonant, rich, flavor-laden finish.","Rosario de Desamparados, Tarrazú, Costa Rica","Produced by Eduardo Navarro Jiminez and Juan Carlos Navarro Ceciliano, entirely of the Caturra variety of Arabica, and processed by the natural method (dried in the whole fruit). JBC Coffee Roasters’ vision is simple: “let the coffee lead the way” through sourcing and roasting the best and most unique coffees available and rewarding the farmers who grow those coffees with substantial premiums. Visit www.jbccoffeeroasters.com or call 608-256-5282 for more information.",Medium-Light,Madison, Wisconsin,2.0
673,Gigesa Natural,95.0,9.0,9.0,9.0,9.0,9.0,"Richly berry-toned, sweetly herbaceous. Raspberry coulis, lemon verbena, wild honey, cedar, a hint of marjoram in aroma and cup. Sweet structure with vibrant acidity; syrupy-smooth mouthfeel. The fruit-forward finish is supported by sweet herb notes and rich aromatic wood suggesting cedar.","Guji Zone, Oromia Region, Southern Ethiopia",Southern Ethiopia coffees like this one are largely produced from distinctive indigenous Ethiopian varieties of Arabica long grown in the region. Processed by the natural method (dried in the whole fruit). JBC Coffee Roasters’ vision is simple: “let the coffee lead the way” through sourcing and roasting the best and most unique coffees available and rewarding the farmers who grow those coffees with substantial premiums. Visit www.jbccoffeeroasters.com or call 608-256-5282 for more information. ,Medium-Light,Madison, Wisconsin,1.5
674,Top Blend 1,93.0,9.0,8.0,9.0,8.0,9.0,"Balanced, bright, sweet-toned. Apricot, cocoa nib, lavender, maple syrup, cedar in aroma and cup. Sweetly tart with vibrant, malic (apple-like) acidity; delicately satiny mouthfeel. Finish consolidates to notes of cocoa nib and lavender with undertones of maple syrup.",Panama; Ethiopia; Costa Rica,"A blend of coffees from Panama, Ethiopia and Costa Rica. Forest Roasting is a coffee roastery and cafe based in Yuanlin, Taiwan that specializes in quality coffees and food choices. Visit https://www.facebook.com/FOREST.ROASTING/about/?ref=page_internal for more information.",Medium-Light,Yuanlin, Taiwan,1.05
675,Top Blend 2,92.0,8.0,8.0,9.0,8.0,9.0,"Gently fruit-toned, cocoa-driven. Cocoa powder, black cherry, magnolia, fresh-cut fir, orange zest in aroma and cup. Sweet structure with brisk acidity; velvety-smooth mouthfeel. Cocoa- and fruit-toned, wood-framed finish.",Brazil; Colombia; Guatemala,"A blend of coffees from Brazil, Colombia and Guatemala. Forest Roasting is a coffee roastery and cafe based in Yuanlin, Taiwan that specializes in quality coffees and food choices. Visit https://www.facebook.com/FOREST.ROASTING/about/?ref=page_internal for more information.",Medium-Light,Yuanlin, Taiwan,1.05
676,Yemen Mocha Harazi,93.0,8.0,8.0,9.0,9.0,9.0,"Crisply spice-toned. Molasses, dried cherry, clove, cashew, grapefruit zest in aroma and cup. Sweet-toned structure with brisk acidity; lightly syrupy mouthfeel. The finish consolidates to notes of molasses, clove and cashew.","Sana’a growing region, Yemen","Sourced from producer groups across Yemen’s Sana’a growing region by Fatuom Muslot. Produced from trees of the Yemen landrace varieties Dawaeri and Jadi and processed by the natural method (sun-dried in the whole fruit). Dragonfly Coffee, named 2019 Micro-Roaster of the Year by Roast magazine, is now based in Henderson, Nevada. Visit dragonflycoffeeroasters.com or call 303-579-2154 for more information.",Medium-Light,Henderson, Nevada,4.38
677,Yemen Mocha Khulani,93.0,9.0,8.0,9.0,8.0,9.0,"Subtly complex, fruit-toned. Raspberry coulis, freesia, almond nougat, cedar, lemon verbena in aroma and cup. Sweet-tart structure with vibrant acidity; crisp, silky mouthfeel. Berry and cedar-toned finish.","Sana’a growing region, Yemen","Sourced from producer groups across Yemen’s Sana’a growing region by Fatuom Muslot. Produced from trees of the Yemen landrace varieties of Audaini, Dawaeri and Tuffahi and processed by the natural method (sun-dried in the whole fruit). Dragonfly Coffee, named 2019 Micro-Roaster of the Year by Roast magazine, is now based in Henderson, Nevada. Visit dragonflycoffeeroasters.com or call 303-579-2154 for more information.",Medium-Light,Henderson, Nevada,4.38
678,Brazil Gauriroba Natural,94.0,9.0,8.0,9.0,9.0,9.0,"Citrusy-bright, juicy-sweet, spice-toned. Pink grapefruit zest, green peppercorn, honeysuckle, agave syrup, frankincense in aroma and cup. Delicately sweet-tart structure with high-toned, vibrant acidity; silky, buoyant mouthfeel. The resonant finish leads with notes of pink grapefruit zest and honeysuckle with green peppercorn and frankincense in the long.","Minas Gerais State, southeastern Brazil","Produced by Homero Aguiar Paiva at Fazenda Gauriroba entirely of the Yellow Catuai variety of Arabica, and processed by the natural method (sun-dried in the whole fruit). SOT Coffee Roaster, based in Osaka, Japan, is a self-described Swedish-style roaster with an “aggressively light” roasting style. For more information, visit www.sotcoffee.com.",Light,Osaka, Japan,6.47
679,Colombia Wush Wush,94.0,9.0,8.0,9.0,9.0,9.0,"Elegantly spice-toned, floral. Bergamot, lilac, pink peppercorn, caramel, plum in aroma and cup. Delicately sweet-savory structure with lively, juicy acidity; very syrupy-smooth mouthfeel. Finish consolidates to notes of caramel and plum.","Santander Department, Colombia","Produced by Oscar Daza of Hacienda La Pradera entirely of the Ethiopian Wush Wush variety of Arabica, and processed by the honey method, in which some fruit flesh is allowed to adhere to the beans during drying. SkyTop Coffee is a USDA certified-organic specialty coffee roaster based in Manlius, New York. For more information, visit skytopcoffee.com.",Medium,Manlius, New York,2.25
680,Costa Rica Hacienda Tobosi Villalobos Anaerobic Natural,94.0,9.0,8.0,9.0,9.0,9.0,"Complex, richly sweet-savory, deeply floral. Star jasmine, salted caramel, cocoa nib, wild strawberry, mustard seed in aroma and cup. Sweet-tart-savory structure with high-toned acidity; very full, syrupy mouthfeel. Cocoa-driven finish with undertones of caramel and mustard seed.","El Guarco, Cartago Province, Costa Rica","Produced at Hacienda Tobosi entirely of the Villalobos variety of Arabica, and processed by the natural anaerobic method (whole fruit is fermented with limited oxygen before drying). GK Coffee is a nano-roastery in Yilan, Taiwan that offers both retail and wholesale coffee. For more information, visit www.gkcoffee.com.tw or email [email protected]",Light,Yilan, Taiwan,2.83
681,Yemen Mocha Haimi,94.0,9.0,8.0,9.0,9.0,9.0,"Delicately perfumed, sweetly fermenty. Green grape, rum barrel, rhododendron, cocoa nib, oak in aroma and cup. Sweet-tart structure with juicy acidity; syrupy-smooth mouthfeel. Sweet ferment suggesting rum barrel animates the crisply cocoa-toned finish. ","Sana’a growing region, Yemen","Sourced from producer groups across Yemen’s Sana’a growing region by Fatuom Muslot. Produced from trees of the Yemen landrace varieties Dawaeri and Tuffahi and processed by the natural method (sun-dried in the whole fruit). Dragonfly Coffee, named 2019 Micro-Roaster of the Year by Roast magazine, is now based in Henderson, Nevada. Visit dragonflycoffeeroasters.com or call 303-579-2154 for more information.",Light,Henderson, Nevada,4.38
682,Colombia Finca Santa Maria,95.0,9.0,9.0,9.0,9.0,9.0,"Resonantly bright and juicy, deeply balanced. Strawberry guava, cocoa nib, Meyer lemon zest, sassafras, wisteria in aroma and cup. Elegantly sweet structure with crisp, vibrant acidity; plush, syrupy mouthfeel. The coherent, flavor-laden finish resonates with all the notes from the cup.","Aratoca, Santander Department, Colombia","Produced by Mildred Muñoz of Finca Santa Maria from trees of the Caturra, Castillo, Colombia and Typica varieties of Arabica and processed by the natural method (sun-dried in the whole fruit). Rainforest Alliance-certified, USDA Organic, and ​​Bird Friendly-certified by the Smithsonian Migratory Bird Council. SkyTop Coffee is a USDA certified-organic specialty coffee roaster based in Manlius, New York. For more information, visit skytopcoffee.com.",Medium-Light,Manlius, New York,1.5
683,Ethiopia Buku Abela,94.0,9.0,8.0,9.0,9.0,9.0,"Cleanly fruit-toned, delicately sweet-tart. Raspberry, bergamot, cocoa nib, honey, lemon verbena in aroma and cup. Sweetly tart structure with delicate, buoyant mouthfeel; crisp, fruit-forward finish.","Guji Zone, Oromia Region, Hambela Woreda, Ethiopia","Guji is a coffee-growing region nestled next to Ethiopia's better-known Yirgacheffe and Sidamo regions. Guji coffees are largely produced from distinctive landrace varieties of Arabica long grown there. Processed by the washed method. Home in Harmony coffees are created by HiH Lifestyle Co., a coffee roaster tailored to retail, wholesale and commercial coffee solutions. Visit www.hih2020.com or email [email protected]",Medium-Light,New Taipei City, Taiwan,1.45
684,Kabiufa Papua New Guinea,94.0,9.0,8.0,9.0,9.0,9.0,"Richly sweet, deeply spice-toned. Toffee, plum blossom, tangerine zest, almond butter, sandalwood in aroma and cup. Juicy-sweet structure with high-toned, balanced acidity; syrupy-smooth mouthfeel. The finish centers around notes of almond, tangerine zest and sandalwood.","Kabiufa, Eastern Highlands, Papua New Guinea","This exceptional coffee was selected as the No. 28 coffee on Coffee Review’s list of the Top 30 Coffees of 2021. Produced by smallholding farmers from trees of the Arusha, Mundo Novo and Typica varieties of Arabica and processed by the washed method (fruit skin and flesh are removed from the beans before they are dried). JBC Coffee Roasters’ vision is simple: “let the coffee lead the way” through sourcing and roasting the best and most unique coffees available and rewarding the farmers who grow those coffees with substantial premiums. Visit www.jbccoffeeroasters.com or call 608-256-5282 for more information.",Light,Madison, Wisconsin,1.33
685,Choco Blend,93.0,8.0,8.0,9.0,9.0,9.0,"Rich-toned, deeply sweet-savory. Nutella, nectarine, magnolia, cedar, maple syrup in aroma and cup. Sweet-savory structure with brisk acidity; satiny-smooth mouthfeel. The flavor-saturated finish centers around notes of Nutella and nectarine with cedar undertones. ",Brazil; Papua New Guinea; Indonesia,"A blend of coffees from three origins: Brazil, Papua New Guinea and Indonesia.  NINETYs Roastery is a Hong Kong-based coffee shop specializing in Australian-style coffee and hospitality. Visit https://www.ninetys.com.hk/ for more information.",Medium-Light,Hong Kong, China,2.19
686,Colombia Black Condor,91.0,8.0,8.0,8.0,8.0,9.0,"Sweet, richly nut-toned. Hazelnut, baking chocolate, pear, fresh-cut fir, brown sugar in aroma and cup. Sweet-toned structure with brisk acidity; crispy, satiny mouthfeel. The finish consolidates to hazelnut and baking chocolate with undertones of fresh-cut fir.","Vereda, Huila Province, Colombia","Produced by Nelson Martinez, the Bayter Brothers, and their mother, Marta Bayter, and processed by the washed method (fruit skin and flesh are removed from the beans before they are dried). Located in southwestern Colorado, Durango Coffee lays claim to a rich coffee history that dates to 1986. Its motto is “Tough Town, Great Coffee.” Visit www.durangocoffee.com or call 800-748-2275 for more information.",Medium-Light,Durango, Colorado,1.66
687,Kenya Nyeri Ndaroini AA Washed,93.0,8.0,8.0,9.0,9.0,9.0,"Sweetly spice-toned. Red currant, tea rose, pink peppercorn, cocoa powder, cedar in aroma and cup. Sweet structure with bright, juicy acidity; crisp, velvety mouthfeel. The quiet finish consolidates to notes of red currant and pink peppercorn.","Nyeri growing region, south-central Kenya","Despite grower discontent, unclear government coffee policy and urban encroachment on prime coffee lands, the famed Kenya coffee auction system and its participating cooperatives continue to produce some of the world's most elegant and distinctive coffees. Coffee Please is an artisanal roastery and cafe in Taipei’s Beitou District, famous for proximity to the Yangming Mountain hot springs. Visit www.facebook.com/CoffeepleaseTW for more information.",Medium-Light,Taipei, Taiwan,1.97
688,Costa Rica Black Honey,94.0,9.0,8.0,9.0,9.0,9.0,"Deeply rich, chocolaty and fruit-toned. Raspberry tart, chocolate fudge, grappa barrel, gardenia, molasses in aroma and cup. Vibrantly sweet-tart structure with juicy, fruit-forward acidity; creamy-smooth mouthfeel. The finish consolidates to suggestions of dried raspberry, chocolate fudge and grappa barrel.",Costa Rica,"Processed by the black honey method, in which the skins are removed from the fruit but virtually all of the fruit flesh or mucilage is allowed to dry on the beans, often resulting in a deep, pungent profile. Kakalove Café is a nano-roaster located in the small city of Chia-Yi in Taiwan that strives to procure and roast the finest quality coffee. Visit www.kakalovecafe.com.tw or email [email protected] for more information.",Medium-Light,Chia-Yi, Taiwan,1.13
689,Yemen Mocca Matari,94.0,9.0,8.0,9.0,9.0,9.0,"Very sweet, richly savory. Honey, tiger lily, fresh pipe tobacco, ginseng, date in aroma and cup. Richly sweet structure with juicy-tart acidity; Syrupy-smooth mouthfeel. Finish leads with notes of pipe tobacco and flowers.","Bani Matar growing region, Yemen","Although Ethiopia is the botanical home of Coffea Arabica, Yemen introduced the beverage to the rest of the world in the 16th and 17th centuries, and most Yemen coffee is still grown from ancient landrace cultivars of arabica on stone-walled terraces ringing fortress-like mountaintop villages. All Yemen coffees are natural-processed, or dried in the whole fruit. EK Roast Studio is committed to presenting the beautiful flavors of finely prepared foods and carefully sourced coffees and sharing this enthusiasm with every customer. Visit https://www.facebook.com/Ellenskitchen for more information.",Medium-Light,Pingtung, Taiwan,2.82
690,Colombia Vella Black Hawk Natural,93.0,8.0,8.0,9.0,9.0,9.0,"Crisply sweet, fruit-forward. Dried mango, agave syrup, lime zest, pink peppercorn, cedar in aroma and cup. Sweetly tart structure with brisk acidity; syrupy-smooth mouthfeel. Richly drying finish leads with notes of dried mango and agave syrup in the short, with hints of pink peppercorn and cedar in the long. ","Huila, Colombia","Comprised entirely of the Caturra variety of Arabica and processed by the natural method (dried in the whole fruit). LECO coffee was founded in 1997, and has always pursued three core concepts: quality, professionalism and sustainability. Visit https://www.facebook.com/Lecocoffee for more information.",Medium-Light,Kaohsiung, Taiwan,2.08
691,Ethiopia Yirgacheffe Botabaa Washed G1 21/01,94.0,9.0,8.0,9.0,9.0,9.0,"Sweetly tart, decidedly tropical. Ginger blossom, passionfruit, kukui nut, lemon verbena, sugarcane in aroma and cup. Sweet-tart structure with juicy, high-toned acidity; plush, syrupy mouthfeel. The finish is resonant, long, and flavor-saturated.","ochere Woreda, Gedeo Zone, Ethiopia","Southern Ethiopia produces distinctive coffees from largely indigenous, traditional varieties of Arabica long grown in the region. Coffees like this one processed by the wet or washed method (fruit skin and pulp is removed before drying) typically express great aromatic complexity and intensity with a particular emphasis on citrus and floral notes. Kakalove Café is a nano-roaster located in the small city of Chia-Yi in Taiwan that strives to procure and roast the finest quality coffee. Visit www.kakalovecafe.com.tw or email [email protected] for more information.",Medium-Light,Chia-Yi, Taiwan,1.2
692,Blue Sky Breakfast Blend,93.0,8.0,8.0,9.0,9.0,9.0,"Chocolaty, deeply sweet. Dark chocolate, dried plum, almond butter, magnolia, cedar in aroma and cup. Sweet structure with brisk acidity; very full, syrupy mouthfeel.The finish leads with notes of dark chocolate and almond butter with undertones of fresh-cut cedar.
",Not disclosed,"A blend of coffees from various regions that change seasonally, all processed by the washed method (fruit skin and flesh are removed from the beans before they are dried). Paradise Roasters specializes in micro-lot Arabica and Robusta coffees from Asia and other emerging origins. Paradise prides itself on quality and freshness, craft-roasting coffees in small batches only after orders are placed. Visit www.paradiseroasters.com or call 763-433-0626 for more information.",Medium-Light,Minneapolis, Minnesota,1.25
693,Ethiopia Yirgacheffe Kochere Sheferaw Jigeso Beraso,93.0,9.0,8.0,9.0,8.0,9.0,"Sweetly tart, gently fruit-toned. Apricot, orange blossom, cocoa nib, nougat, cashew in aroma and cup. Sweet-tart structure with juicy, balanced acidity; delicate, silky mouthfeel. The finish consolidates to notes of cocoa nib and cashew.","Yirgacheffe growing region, southern Ethiopia",Yirgacheffe coffees like this one are largely produced from traditional Ethiopian landrace varieties of Arabica long grown in the region. A wet-processed or “washed” version (fruit skin and pulp are removed before drying). EK Roast Studio is committed to presenting the beautiful flavors of finely prepared foods and carefully sourced coffees and sharing this enthusiasm with every customer. Visit https://www.facebook.com/Ellenskitchen for more information.,Light,Pingtung, Taiwan,1.87
694,Ethiopia Sidamo Bensa Mirado Natural,94.0,9.0,8.0,9.0,9.0,9.0,"High-toned, richly sweet-tart. Tea rose, peach, almond butter, oak, maple syrup in aroma and cup. Sweetly tart structure with bright, lively acidity; smooth, syrupy mouthfeel. The finish consolidates to notes of almond and maple syrup with tea rose gently resurfacing in the long.","Sidamo growing region, south-central Ethiopia","Southern Ethiopia coffees like this one are largely produced from distinctive indigenous Ethiopian landrace varieties of Arabica long grown in the region. Processed by the natural method (sun-dried in the whole fruit). LECO coffee was founded in 1997, and has always pursued three core concepts: quality, professionalism and sustainability. Visit https://www.facebook.com/Lecocoffee for more information.

 ",Light,Kaohsiung, Taiwan,2.08
695,Ethiopia Guji Hambela Kudume Yellow Honey,94.0,9.0,8.0,9.0,9.0,9.0,"Richly sweet-tart, fruit-forward. Dried strawberry, dark chocolate, cashew butter, thyme, pink grapefruit zest in aroma and cup. Brightly sweet with juicy acidity; satiny-smooth mouthfeel. Resonant, flavor-laden finish.","Guji Zone, Oromia Region, southern Ethiopia","Southern Ethiopia coffees like this one are largely produced from distinctive traditional Ethiopian landrace varieties of Arabica long grown in the region. Processed by the yellow honey method. With all honey processing methods, some sweet pulp or fruit flesh (“honey”) is allowed to adhere to the beans during drying. In the yellow honey variation, a thin layer of pulp is allowed to dry on the beans, more than with white honey, but less than is the case with red or black honey. Coffee Please is an artisanal roastery and cafe in Taipei’s Beitou District, famous for proximity to the Yangming Mountain hot springs. Visit www.facebook.com/CoffeepleaseTW for more information.",Medium-Light,Taipei, Taiwan,2.64
696,Ethiopia Hambela Yellow Honey James Selection,95.0,9.0,9.0,9.0,9.0,9.0,"Crisply sweet-tart, bright and juicy. Tamarind, pink grapefruit zest, cocoa nib, freesia, redwood in aroma and cup. Bright, juicy, electric acidity; deep, syrupy-smooth mouthfeel. Sweet, long finish with notes of cocoa nib and pink grapefruit zest.","Guji Zone, Oromia Region, southern Ethiopia","Processed by the yellow honey method. With all honey processing methods, some sweet pulp or fruit flesh (“honey”) is allowed to adhere to the beans during drying. In the yellow honey variation, a thin layer of pulp is allowed to dry on the beans, more than with white honey, but less than is the case with red or black honey. Kakalove Café is a nano-roaster located in the small city of Chia-Yi in Taiwan that strives to procure and roast the finest quality coffee. Visit www.kakalovecafe.com.tw or email [email protected] for more information.",Light,Chia-Yi, Taiwan,1.69
697,Ethiopia Natural Guji D Minor 21/01,95.0,9.0,9.0,9.0,9.0,9.0,"Complex, bright, cleanly fruit-forward. Meyer lemon zest, ripe plum, cocoa nib, violet, black sage in aroma and cup. Sweetly tart with crisp, juicy acidity; silky, supple mouthfeel. Deeply layered finish centered on stone fruit and cocoa.","Guji Zone, Oromia Region, Southern Ethiopia",Southern Ethiopia coffees like this one are largely produced from distinctive indigenous Ethiopian varieties of Arabica long grown in the region. Processed by the natural method (dried in the whole fruit). Kakalove Café is a nano-roaster located in the small city of Chia-Yi in Taiwan that strives to procure and roast the finest quality coffee. Visit www.kakalovecafe.com.tw or email [email protected] for more information.,Light,Chia-Yi, Taiwan,1.55
698,Panama Geisha,92.0,8.0,8.0,9.0,8.0,9.0,"Richly sweet, floral-toned. Honeysuckle, raisin, pistachio, caramel, fresh-cut cedar in aroma and cup. Sweet-toned structure with gentle, round acidity; velvety-smooth mouthfeel. Floral and nut-toned finish.","Jaramillo, Boquete growing region, Panama","Produced from trees of the celebrated Ethiopia-derived botanical variety Geisha (also spelled Gesha) on the Chiari family’s Finca Lerida Esplenderosa in Jaramillo, Panama under the management of family member Sonia Amoruso. With its elongated beans and distinctive cup, the Geisha variety continues to distinguish itself as one of the world’s most unique coffees. Baba Java is a specialty roaster and cafe retailer located in Hoover Alabama that strives to provide the best coffee experience at every step. Visit www.babajavacoffee.com or call 205-777-5984 for more information.

 ",Medium-Light,Hoover, Alabama,5.0
699,Tanzania Gesha Peaberry,95.0,9.0,9.0,9.0,9.0,9.0,"Lyrically balanced, richly spice-toned. Bergamot, wisteria, cocoa nib, sugarcane, guava in aroma and cup. Intoxicatingly sweet structure with delicately bright acidity; buoyant, silky mouthfeel. Resonant, flavor-saturated, very long finish.","Ngorongoro, Tanzania","Produced at Acacia Hills Coffee Estate entirely of the Geisha variety of Arabica, and processed by the washed method (fruit skin and flesh are removed from the beans before they are dried). This particular sample consists entirely of peaberries, a kind of bean that results when the coffee fruit develops only a single, oval bean rather than the usual pair of flat-sided beans. Paradise Roasters specializes in micro-lot Arabica and Robusta coffees from Asia and other emerging origins. Paradise prides itself on quality and freshness, craft-roasting coffees in small batches only after orders are placed. Visit www.paradiseroasters.com or call 763-433-0626 for more information.",Light,Minneapolis, Minnesota,18.74
700,Sudan Rume,93.0,8.0,8.0,9.0,9.0,9.0,"Rich-toned, deeply sweet-savory. Black cherry, almond nougat, hop flowers, cedar, marjoram in aroma and cup. Richly bittersweet structure with gentle, round acidity; very full, syrupy mouthfeel. The finish leads with bittersweet floral notes that suggest hop flowers, with undertones of stone fruit and almond nougat.",Colombia,Produced from trees of the ancient Sudan Rume variety of Arabica and processed by the washed method with a cold ferment. Lina Premium Coffee is a Bogota-based specialty coffee roaster that works with and supports Colombian farms and farmers. Visit www.linapremiumcoffee.com for more information.,Medium-Light,Bogota, Colombia,2.08
701,Dominican Republic Organic Ramirez Estate,90.0,8.0,8.0,8.0,8.0,8.0,"Delicate, sweet, quietly nuanced. Clover, oak, cocoa powder, macadamia nut, agave syrup in aroma and cup. Sweet-toned with a quietly present, backgrounded acidity; velvety-smooth mouthfeel. Sweet, subtly complex finish.","Jarabacoa, Dominican Republic","Certified USDA Organic. Produced at Ramirez Estate, a farm distinguished by a range of progressive environmental and social practices. Processed by the washed method (fruit skin and flesh are removed from the beans before they are dried). Cafe Kreyol is a roaster in Manassas, Virginia with the mission of creating sustainable employment by way of specialty coffee. Visit www.cafekreyol.com or call 571-719-7018 for more information. ",Medium-Light,Manassas, Virginia,1.08
702,Haitian Blue Zombie Desert,92.0,8.0,7.0,9.0,9.0,9.0,"Soft, round, quietly vibrant. Cashew, red plum, tea rose, baking chocolate, cedar in aroma and cup. Sweet structure with crisply bright acidity; lightly syrupy mouthfeel. The finish consolidates to notes of baking chocolate and cedar.","Savane Zombie, Haiti","This exceptional coffee was selected as the No. 27 coffee on Coffee Review’s list of the Top 30 Coffees of 2021. Produced by smallholding members of COOPACVOD, led by coop member Mariane Merisier, from trees of the Blue Mountain, Typica and Bourbon varieties of Arabica, and processed by the washed method (fruit skin and flesh are removed from the beans before they are dried). Certified USDA Organic. Cafe Kreyol is a roaster in Manassas, Virginia with the mission of creating sustainable employment by way of specialty coffee. Visit www.cafekreyol.com or call 571-719-7018 for more information. ",Medium-Light,Manassas, Virginia,1.25
703,Ethiopia Nano Genji,92.0,8.0,8.0,9.0,8.0,9.0,"Bright, richly chocolaty. Dark chocolate, pink grapefruit zest, plum, almond, lemon-thyme in aroma and cup. Sweet-tart structure with brisk acidity; full, velvety mouthfeel. Chocolaty, nut-toned finish with undertones of fresh-cut cedar.","Guji Zone, Oromia Region, southern Ethiopia","Produced from indigenous landrace tree varieties long grown in the region and processed by the washed method (fruit skin and pulp are removed before drying). Temple Coffee is a quality-focused retail and wholesale specialty roaster active in Sacramento, California since 2005. Committed to sourcing, roasting and brewing the finest coffees, Temple features coffee from distinguished single estates and cooperatives around the world. Visit www.templecoffee.com or call 916-454-1282 for more information.",Medium-Light,Sacramento, California,1.79
704,Gura Kenya,93.0,8.0,8.0,9.0,9.0,9.0,"Citrusy, floral-toned. Bergamot, rhododendron, cashew butter, cocoa nib, maple syrup in aroma and cup. Sweetly tart with pert acidity; very full, syrupy-smooth mouthfeel. The finish centers around notes of cashew butter and maple syrup with a hint of bergamot.","Nyeri growing region, Kenya","Produced by smallholding farmers around the Gura Factory (mill), from trees of the SL28, SL34, Ruiru 11 and Batian varieties of Arabica, and processed by the washed method (fruit skin and pulp are removed before drying). JBC Coffee Roasters’ vision is simple: “let the coffee lead the way” through sourcing and roasting the best and most unique coffees available and rewarding the farmers who grow those coffees with substantial premiums. Visit www.jbccoffeeroasters.com or call 608-256-5282 for more information.",Medium-Light,Madison, Wisconsin,1.83
705,Sadah Kuhlani Yemen,93.0,8.0,8.0,9.0,9.0,9.0,"Fruit-centered, sweetly herb-toned. Cherry, lemon-thyme, tiger lily, wild honey, fresh-cut oak in aroma and cup. Sweetly savory with brisk acidity; full, syrupy-smooth mouthfeel. The crisply sweet finish consolidates around notes of honey and oak.","Sa’dah Governorate, Yemen","Produced by members of the Khulani Coffee Society from trees of the Audaini, Dawaery and Tuffahi varieties of Arabica, and processed by the natural method (dried in the whole fruit). Barrington Coffee is an artisan roaster dedicated to elite coffees, fresh delivery and roasting that foregrounds the coffee and not the roast. Visit www.barringtoncoffee.com or call 800-528-0998 for more information.",Light,Lee, Massachusetts,3.33
706,Medina Natural,93.0,8.0,8.0,9.0,9.0,9.0,"Gently fruit-toned, richly bittersweet. Raspberry, hop flowers, baking chocolate, honey, lemon verbena in aroma and cup. Sweet-savory structure with balanced acidity; viscous, satiny mouthfeel. The quietly intricate finish centers around raspberry and chocolate suggestions.","Antigua growing region, Guatemala","Produced at Finca Medina from trees of the Bourbon and Marsellesa varieties of Arabica, and processed by the natural method (dried in the whole fruit). JBC Coffee Roasters’ vision is simple: “let the coffee lead the way” through sourcing and roasting the best and most unique coffees available and rewarding the farmers who grow those coffees with substantial premiums. Visit www.jbccoffeeroasters.com or call 608-256-5282 for more information.",Medium-Light,Madison, Wisconsin,1.71
