,title,rating,acidity_structure,aftertaste,aroma,body,flavor,blind_assessment,coffee_origin,est_price,notes,roast_level,roaster_location,City,State,Country
901,La Reforma El Salvador Natural,94.0,9.0,8.0,9.0,9.0,9.0,"Complex, cleanly fruit-forward. Raspberry coulis, cocoa nib, hazelnut butter, lilac, sandalwood in aroma and cup. Bright, sweetly tart structure with juicy acidity; delicate, silky-smooth mouthfeel. The resonant finish consolidates to notes of raspberry and hazelnut with sandalwood undertones. ","Calzontes Arriba, Santa Ana Department, El Salvador",$20.50/12 ounces,Produced by the Alvarez family entirely of the Bourbon variety of Arabica and processed by the natural method (dried in the whole fruit). JBC Coffee Roasters’ vision is simple: “let the coffee lead the way” through sourcing and roasting the best and most unique coffees available and rewarding the farmers who grow those coffees with substantial premiums. Visit www.jbccoffeeroasters.com or call 608-256-5282 for more information.,Medium-Light,"Madison, Wisconsin",Madison, Wisconsin,
902,Kenya Karatina,94.0,9.0,8.0,9.0,9.0,9.0,"Deeply sweet-savory, intricate, inviting. Black currant, cocoa nib, lemon verbena, fresh-cut oak, Nutella in aroma and cup. Balanced, sweetly tart structure with juicy-bright acidity; plush, satiny mouthfeel. The finish consolidates to lasting black currant and Nutella notes.","Nyeri County, Kenya",$23.50/12 ounces,"Produced by smallholding farmers surrounding the Karatina Coffee Factory from trees of the Ruiru 11, SL28 and Batian varieties of Arabica, and processed by the washed method (fruit skin and flesh are removed from the beans before they are dried). Committed to sourcing, roasting and brewing the finest coffees, Temple features coffee from distinguished single estates and cooperatives around the world. Visit www.templecoffee.com or call 916-454-1282 for more information. ",Medium-Light,"Sacramento, California",Sacramento, California,
903,Mama Cata Mokkita,95.0,9.0,9.0,9.0,9.0,9.0,"Rich, resonant, lyrically juicy. Dark chocolate, dried white peach, lilac, myrrh, ginseng in aroma and cup. Balanced, high-toned structure with juicy-bright acidity; plush, syrupy-smooth mouthfeel. Long, lingering, integrated finish fulfills the promise of the cup.","Boquete growing region, western Panama",$80.00/12 ounces,"Produced by the Garrido family entirely of the rare Mokkita variety of Arabica and processed by a particularly meticulous version of the dried-in-the-fruit natural method. Cafe Unido is a roaster specializing in Panama’s top-lot coffees, with offices in both Panama and the U.S. Visit www.cafeunido.com for more information.",Medium-Light,"Washington, D.C.",Washington, D.C.,
904,Kenya Muranga Riakiberu,92.0,8.0,8.0,9.0,8.0,9.0,"Deeply sweet, citrus-toned. Magnolia, tangerine zest, caramel, baking chocolate, lemon-thyme in aroma and cup. Sweet structure with brisk acidity; satiny-smooth mouthfeel. The delicate finish centers around notes of baking chocolate and tangerine zest.","Murang'a County, central Kenya",$24.00/12 ounces,"Produced by smallholding farmers around the Riakiberu Factory (mill), entirely from trees of the admired SL28 and SL34 varieties of Arabica and processed by the washed method (fruit skin and flesh are removed from the beans before they are dried). Despite grower discontent and urban encroachment on prime coffee lands, Kenya continues to produce some of the world’s most elegant and distinctive coffees. Jaunt Coffee Roasters is a San Diego-based roaster and café with an extensive coffee and food menu. Visit www.jauntcoffee.com for more information.",Medium-Light,"San Diego, California",San Diego, California,
906,Hung Farm,93.0,8.0,8.0,9.0,9.0,9.0,"Subtly complex, delicately sweet. Red plum, hazelnut, agave syrup, honeysuckle, fresh-cut oak in aroma and cup. Balanced structure with pert acidity; full, syrupy mouthfeel. The gently fruit-toned finish is supported by hazelnut and oak notes.","Dalat, Vietnam",$22.00/12 ounces,"This exceptional coffee was selected as the No. 26 coffee on Coffee Review’s list of the Top 30 Coffees of 2021. Produced at Hung Farm entirely of the Catimore variety of Arabica, and processed by the washed method (beans are dried in the whole fruit). VN Beans is a Bay Area coffee importer and roaster dedicated to sharing Vietnamese culture and Vietnamese specialty coffee sourced from small, family-owned coffee farms in Vietnam. Visit www.vnbeans.com for more information.",Medium-Light,"Oakland, California",Oakland, California,
907,Ethiopia Gedeb Worka Wuri,95.0,9.0,9.0,9.0,9.0,9.0,"Richly aromatic, deeply and sweetly herb-toned. Cocoa nib, bergamot, lilac, maple syrup, myrrh in aroma and cup. Deeply sweet-toned in structure with vibrant, juicy acidity; syrupy-smooth mouthfeel. The long, resonant finish is flavor-saturated, floral- and fruit-toned.","Gedeb District, Gedeo Zone, southern Ethiopia",$26.00/12 ounces,"Southern Ethiopia coffees like this one are produced from traditional Ethiopian landrace varieties of Arabica long grown in the region. This is a wet-processed or “washed” coffee, meaning the fruit skin and pulp were removed from the beans immediately after harvesting and before drying. Jaunt Coffee Roasters is a San Diego-based roaster and café with an extensive coffee and food menu. Visit www.jauntcoffee.com for more information.",Light,"San Diego, California",San Diego, California,
908,Ethiopia Kayon Mountain Natural,93.0,8.0,8.0,9.0,9.0,9.0,"Chocolaty, cleanly fruit-forward. Dark chocolate, blueberry, sandalwood, wisteria, lemongrass in aroma and cup. Sweet-tart structure with brisk acidity; syrupy-smooth mouthfeel. Richly chocolaty finish with undertones of wisteria and sandalwood.","Odo Shakiso District, Guji Zone, southern Ethiopia",$19.95/12 ounces,"Produced by the Hassen family at their estate farm in the Guji Zone from distinctive landrace varieties of Arabica long grown in the region. This is a dry-processed or “natural” version, meaning the beans were dried inside the fruit rather than after the fruit has been removed, as is the case with wet-processed or “washed” coffees. Certified USDA organic. Founded in 1990, Roadmap CoffeeWorks, formerly Lexington Coffee Roasters, is an award-winning artisan roasting company based in Lexington, Virginia. Roadmap CoffeeWorks focuses on producing fresh, distinctive and sustainable coffees. Visit www.roadmapcoffeeworks.com or call 800-322-6505 for more information.",Medium-Light,"Lexington, Virginia",Lexington, Virginia,
909,Kenya Nyeri Kiandu AA,92.0,8.0,8.0,9.0,8.0,9.0,"Crisply sweet-savory. Dark chocolate, lavender, date, agave syrup, lemon zest in aroma and cup. Richly bittersweet structure with velvety-smooth mouthfeel; chocolaty finish with lavender undertones.","Nyeri growing region, south-central Kenya",$18.50/16 ounces,"Produced by smallholding members of the Mutheka Farmers Cooperative from trees of the admired SL28 and SL34 varieties of Arabica and processed by the washed method (fruit skin and flesh are removed from the beans before they are dried) at the Kiandu Washing Station. Founded in 1994, Coffee By Design is a specialty coffee roaster in Portland, Maine that also operates three coffee shops in town, as well as one in Freeport. Visit www.coffeebydesign.com.",Medium-Light,"Portland, Maine",Portland, Maine,
910,Ethiopia Kayon Mountain Washed,94.0,9.0,8.0,9.0,9.0,9.0,"High-toned, elegant, balanced. Apricot, almond butter, bergamot, cedar, cocoa nib in aroma and cup. Delicately sweet structure with juicy-bright acidity; very syrupy, lively mouthfeel. Cocoa-toned finish supported by notes of apricot and almond.","Odo Shakiso District, Guji Zone, southern Ethiopia",$19.95/12 ounces,"Produced by the Hassen family at their estate farm in the Guji Zone from distinctive landrace varieties of Arabica long grown in the region and processed by the washed method (fruit skin and flesh are removed from the beans before they are dried). Certified USDA organic. Founded in 1990, Roadmap CoffeeWorks, formerly Lexington Coffee Roasters, is an award-winning artisan roasting company based in Lexington, Virginia. Roadmap CoffeeWorks focuses on producing fresh, distinctive and sustainable coffees. Visit www.roadmapcoffeeworks.com or call 800-322-6505 for more information.",Medium-Light,"Lexington, Virginia",Lexington, Virginia,
911,Colombia Gesha,94.0,9.0,8.0,9.0,9.0,9.0,"Floral, spice-toned. Jasmine, pink peppercorn, honey, apricot, myrrh in aroma and cup. Sweet structure with vivacious acidity; very full, syrupy mouthfeel. The finish consolidates to notes of pink peppercorn and honey.","Aratoca, Santander Department, Colombia",$27.00/12 ounces,"Produced at Finca Santa Maria entirely of the celebrated Gesha (also spelled Geisha) variety of Arabica, and processed by the honey method, in which some sweet pulp or fruit flesh (“honey”) is allowed to adhere to the beans during drying. Finca Santa Maria is certified with the Con Manos de Mujer seal, verifying that it was produced by women farmers. SkyTop Coffee is a USDA certified-organic specialty coffee roaster based in Manlius, New York. For more information, visit skytopcoffee.com.",Medium-Light,"Manlius, New York",Manlius, New York,
912,Ethiopia Sidama Ardi,95.0,9.0,9.0,9.0,9.0,9.0," Bright, richly high-toned. Lilac, frankincense, cocoa nib, pink grapefruit zest, pistachio butter in aroma and cup. Delicately sweet-tart with balanced, vibrant acidity; silky, viscous mouthfeel. Resonant, long, flavor-saturated finish.","Guji Zone, Borena Hagermariam District, Ethiopia",$19.00/12 ounces,"Southern Ethiopia coffees like this one are largely produced from distinctive indigenous Ethiopian varieties of Arabica long grown in the region. Processed by the natural method (dried in the whole fruit). Founded in 1995 by Brooke McDonnell and Helen Russell, Equator Coffees operates retail stores in the San Francisco Bay Area and provides coffee to hundreds of wholesale accounts. Visit www.equatorcoffees.com or call 800-809-7687 for more information. ",Light,"San Rafael, California",San Rafael, California,
913,Kiamugumo Kenya,95.0,9.0,9.0,9.0,9.0,9.0,"Sweet-savory, multi-layered, deep-toned. Tangerine zest, dark chocolate, goji berry, almond nougat, myrrh in aroma and cup. Savory-leaning structure with citrusy acidity; very full, syrupy mouthfeel. Resounding, satisfying finish driven by chocolate and citrus.","Kirinyaga County, south-central Kenya",$21.00/12 ounces,"Produced by smallholding members of the Ngariama Farmers Cooperative Society from trees of the SL28, SL34, Batian and Ruiru varieties of Arabica and processed by the washed method. JBC Coffee Roasters’ vision is simple: “let the coffee lead the way” through sourcing and roasting the best and most unique coffees available and rewarding the farmers who grow those coffees with substantial premiums. Visit www.jbccoffeeroasters.com or call 608-256-5282 for more information.",Medium-Light,"Madison, Wisconsin",Madison, Wisconsin,
914,Candelilla Geisha Natural,95.0,9.0,9.0,9.0,9.0,9.0,"Delicately sweet-tart, richly aromatic. Pomegranate, lavender, cocoa nib, lemon-thyme, cedar in aroma and cup. Sweetly tart structure with bright, graceful acidity; light but viscous, silky mouthfeel. Long, confident finish led by notes of lavender and pomegranate, rounding to citrus-toned cocoa nib in the long.","Tarrazu growing region, Costa Rica",$21.50/8 ounces,"Produced by Ricardo Hernandez Naranjo of La Candelilla Farm, entirely of the Geisha variety of Arabica, and processed by the natural method (beans are dried in the whole fruit). JBC Coffee Roasters’ vision is simple: “let the coffee lead the way” through sourcing and roasting the best and most unique coffees available and rewarding the farmers who grow those coffees with substantial premiums. Visit www.jbccoffeeroasters.com or call 608-256-5282 for more information.",Light,"Madison, Wisconsin",Madison, Wisconsin,
915,Kona Red Wine Process,94.0,9.0,8.0,9.0,9.0,9.0,"Sweetly fermenty, deeply rich. Aged red wine, ginger blossom, vanilla, pink grapefruit zest, baking chocolate in aroma and cup. Very sweet, high-toned structure with winy acidity; smooth, creamy mouthfeel. Spice-toned, delicate finish. ","Kona, Big Island of Hawai’i",$24.95/4 ounces,"Produced by smallholding farmers entirely of the Kona Typica variety of Arabica and processed by the traditional Kona washed method. The finished green coffee is then soaked in a solution of grape juice and oak, then dried again. Paradise Roasters specializes in micro-lot Arabica and Robusta coffees from Asia and other emerging origins. Paradise prides itself on quality and freshness, craft-roasting coffees in small batches only after orders are placed. Visit www.paradiseroasters.com or call 763-433-0626 for more information.",Medium-Light,"Minneapolis, Minnesota",Minneapolis, Minnesota,
916,Guji Hamasho Washed,94.0,9.0,8.0,9.0,9.0,9.0,"Balanced, richly fruit-forward. Lychee, cocoa nib, wisteria, maple syrup, pistachio brittle in aroma and cup. Brightly sweet with delicately juicy acidity; silky-smooth mouthfeel. Finish consolidates to notes of cocoa-toned tropical fruit and pistachio.","Bombe Mountains, Sidama growing region, Ethiopia",$24.95/12 ounces,"Produced by smallholding farmers and processed at the Hamasho Washing Station from 74110, 74112 and other local varieties of Arabica. Paradise Roasters specializes in micro-lot Arabica and Robusta coffees from Asia and other emerging origins. Paradise prides itself on quality and freshness, craft-roasting coffees in small batches only after orders are placed. Visit www.paradiseroasters.com or call 763-433-0626 for more information.",Medium-Light,"Minneapolis, Minnesota",Minneapolis, Minnesota,
918,Panama Hacienda La Esmeralda Ethiopia Accessions,95.0,9.0,9.0,9.0,9.0,9.0,"Delicately sweet-savory, elegantly herb-toned. Tarragon, lilac, nectarine, lemon balm, amber in aroma and cup. Brightly sweet with juicy, vibrant acidity; plush, satiny mouthfeel. The complex, richly nuanced finish centers around lilac and tarragon with nectarine and amber undertones. ","Boquete growing region, western Panama",$24.95/4 ounces,"Produced at Hacienda La Esmeralda from plantings of wild and semi-wild varieties of Ethiopia Arabica in Costa Rica’s International Coffee Collection. These coffees were then blended and processed by the washed method (fruit skin and flesh are removed from the beans before they are dried). Paradise Roasters specializes in micro-lot Arabica and Robusta coffees from Asia and other emerging origins. Paradise prides itself on quality and freshness, craft-roasting coffees in small batches only after orders are placed. Visit www.paradiseroasters.com or call 763-433-0626 for more information.",Light,"Minneapolis, Minnesota",Minneapolis, Minnesota,
919,Ethiopia Guji (Rose Selection),93.0,9.0,8.0,9.0,8.0,9.0,"Fruit-forward, multi-layered. Blueberry, musk, cocoa powder, freesia-like flowers, a hint of rum barrel in aroma and cup. Balanced structure with lively acidity; velvety-smooth mouthfeel. The resonant finish leads with dark berries in the short, while the long is characterized by spice-toned florals and a touch of sweet ferment.","Guji Zone, Oromia Region, south-central Ethiopia",NT $300/225 grams,"Southern Ethiopia coffees like this one are produced from distinctive indigenous landrace Ethiopian varieties of Arabica long grown in the region. This is a dry-processed or “natural” version, meaning the beans were dried inside the fruit rather than after the fruit has been removed, as is the case with wet-processed or “washed” coffees. Santos Coffee is a micro-roaster based in Chia-Yi, Taiwan. Visit https://www.facebook.com/SantosCoffeeWU or email mail

[email protected] for more information.",Medium-Light,"Minxiong, Chia-yi, Taiwan",Minxiong, Chia-yi, Taiwan
920,Kona Medium-Dark Roast,90.0,8.0,7.0,9.0,8.0,8.0,"Sweetly roast-toned, floral. Gardenia, dark chocolate, raisin, gently scorched oak, cashew in aroma and cup. Sweet-toned structure with gentle, round acidity; delicate, velvety mouthfeel. Dark chocolate and gardenia lead in the finish, supported by smoky oak.","Holualoa, North Kona, Big Island of Hawai’i",$35.00/12 ounces,"Kona Coffee Love Co. offers roasted coffees grown at Boranian Farms. Though not certified organic, Boranian actively cultivates its crops with regenerative agriculture methods like cover-cropping, growing nitrogen-fixing trees to coppice and mulch, making and implementing Korean natural farming solutions, using permaculture energy solutions, cooking compost, etc. Visit www.konalovecoffee.com for more information.",Medium,"Holualoa, Hawaii",Holualoa, Hawaii,
921,Kona Medium Roast,92.0,8.0,8.0,9.0,8.0,9.0,"Richly sweet, deep-toned. Baking chocolate, hazelnut, date, magnolia, cedar in aroma and cup. Sweet in structure with brisk acidity; satiny mouthfeel. Chocolate-toned finish with undertones of hazelnut and cedar.","Holualoa, North Kona, Big Island of Hawai’i",$35.00/12 ounces,"Kona Coffee Love Co. offers roasted coffees grown at Boranian Farms. Though not certified organic, Boranian actively cultivates its crops with regenerative agriculture methods like cover-cropping, growing nitrogen-fixing trees to coppice and mulch, making and implementing Korean natural farming solutions, using permaculture energy solutions, cooking compost, etc. Visit www.konalovecoffee.com for more information.",Medium-Light,"Holualoa, Hawaii",Holualoa, Hawaii,
924,Ethiopia Natural Guji Sweet Lady,93.0,8.0,8.0,9.0,9.0,9.0,"Berry-toned, invitingly nuanced. Raspberry, musk, cocoa powder, freesia-like flowers, a hint of rum barrel in aroma and cup. Balanced structure with brisk acidity; plush, lively mouthfeel. The finish leads with distinct raspberry notes in the short, while the long is characterized by spice-toned florals and pleasing sweet ferment.","Guji Zone, Oromia Region, southern Ethiopia",NT $400/8 ounces,"Southern Ethiopia coffees like this one are largely produced from distinctive indigenous Ethiopian landrace varieties of Arabica long grown in the region. Processed by the natural method (dried in the whole fruit). David's Nose Coffee is a specialty coffee roaster based in Taipei, Taiwan whose founder studied agronomy and has a deep interest in crop quality. For more information, visit www.dnose.com.tw.",Medium-Light,"Taipei, Taiwan",Taipei, Taiwan,
926,Honduras Finca Las Moras Parainema Yellow Honey,93.0,8.0,8.0,9.0,9.0,9.0,"Crisply sweet, richly resonant. Red apple, almond butter, cane sugar, fresh-cut oak, lily in aroma and cup. Sweet structure with pert acidity; full, syrupy mouthfeel. The finish centers around almond, oak and crisp apple.","Siguatepeque, Comayagua Department, Honduras",$16.95/12 ounces,"Produced at Finca Las Moras, a farm owned by Genuine Origin importers. Produced entirely from trees of the Parainema variety of Arabica, and processed by the yellow honey method. With all honey processing methods, some sweet pulp or fruit flesh (“honey”) is allowed to adhere to the beans during drying. In the yellow honey variation, a thin layer of pulp is allowed to dry on the beans, more than with white honey, but less than is the case with red or black honey. RamsHead Coffee Roasters is a family-owned company founded by Bozeman, Montana, natives Caleb and Laura Walker that specializes in direct trade microlot coffees. For more information, visit www.ramsheadcoffee.com.",Medium-Light,"Bozeman, Montana",Bozeman, Montana,
927,Colombia La Esperanza Potosí Anaerobic Process,94.0,9.0,8.0,9.0,9.0,9.0,"Deeply pungent, richly sweet-savory. Dark chocolate, cranberry sauce, orange blossom, lemon-thyme, a hint of wine barrel in aroma and cup. Brightly sweet-savory with winy acidity; very full, creamy mouthfeel. Finish consolidates to notes of dark chocolate and cranberry sauce with undertones of wine barrel.","Caicedonia, Valle de Cauca Department, Colombia",$18.95/12 ounces,"Produced by Rigoberto and Rodrigo Herrera at Finca Potosí of Café Granja Esperanza and processed by the anaerobic natural method (fruit is fermented in the whole fruit with limited access to oxygen). Located in southwestern Colorado, Durango Coffee lays claim to a rich coffee history that dates to 1986. Its motto is “Tough Town, Great Coffee.” Visit www.durangocoffee.com or call 800-748-2275 for more information.",Medium-Light,"Durango, Colorado",Durango, Colorado,
928,Peru Finca Churupampa,93.0,8.0,8.0,9.0,9.0,9.0,"Chocolaty, deep-toned. Baking chocolate, hazelnut, gardenia, molasses, cedar in aroma and cup. Sweet in structure with gentle, round acidity; plush, satiny mouthfeel. Chocolaty, richly nut-framed finish.","Chirinos, San Ignacio Province, Peru",$16.95/12 ounces,"Produced at Finca Churupampa and processed by the washed method (fruit skin and flesh are removed from the beans before they are dried). Certified organic and fair trade. RamsHead Coffee Roasters is a family-owned company founded by Bozeman, Montana, natives Caleb and Laura Walker that specializes in direct-trade microlot coffees. For more information, visit www.ramsheadcoffee.com.",Medium-Light,"Bozeman, Montana",Bozeman, Montana,
929,Port of Mokha Auction Lot 19: Mohamed Ahmed Al Rumaim,92.0,8.0,8.0,9.0,8.0,9.0,"Chocolaty and richly wood-framed. Dark chocolate, fresh-cut pine, magnolia, pink peppercorn, golden raisin in aroma and cup. Sweetly tart structure with pert acidity; crisp, velvety mouthfeel. Richly drying, chocolaty finish. ","Al Hayma District, Sana’a Governorate, Yemen",NT $760/4 ounces,Produced by Mohamed Ahmed Al Rumaim entirely of the Udaini variety of Arabica and processed by the natural method (sun-dried in the whole fruit). Euphora Coffee is a Taipei-based specialty coffee roaster with an active online community through which all sales are made. Visit www.euphoracoffeestudio.com for more information.,Medium-Light,"Taipei, Taiwan",Taipei, Taiwan,
930,Bait Alal Community,93.0,8.0,8.0,9.0,9.0,9.0,"Sweetly bright, intense, perfumy. Passionfruit, banana, chocolate fudge, cedar, lily in aroma and cup. Juicy and lactic tangy-sweet in structure; creamy-smooth in mouthfeel. The sweet but gently drying finish consolidates to suggestions of chocolate, fruit and lily.","Al Hayma District, Sana’a Governorate, Yemen",£25.00/8 18-gram pouches,"Produced by smallholding farmers of the Bait Alal community entirely from trees representing a newly identified genetic cluster of Coffea arabica unique to Yemen that Qima Coffee has labeled Yemenia. Processed by what Qima calls its Alchemy process, which involves fermenting the whole coffee fruit in three stages before it is dried, including a stage in which the fruit is sealed in pressurized tanks (a variation of the so-called “anaerobic” process). Qima Coffee specializes exclusively in importing coffees from Yemen, which it both sells green and roasts under its own label in London. Visit https://www.qimacoffee.com/ for more information.",Medium-Light,"London, England",London, England,
931,Yemen Sana’a,93.0,8.0,8.0,9.0,9.0,9.0,"Elegantly fruit-toned, richly sweet. Dried black cherry, pipe tobacco, almond, vanilla, honeysuckle in aroma and cup. Sweetly tart structure with gently brisk acidity; very syrupy-smooth mouthfeel. The finish consolidates  vanilla and cherry notes supported by pipe tobacco.","Sana’a Governorate, Yemen",$32.00/6 ounces,"Produced by smallholding farmers from trees of local heirloom varieties of Arabica and processed by the natural method (dried in the whole fruit). Founded in 1995 by Brooke McDonnell and Helen Russell, Equator Coffees operates retail stores in the San Francisco Bay Area and provides coffee to hundreds of wholesale accounts. Visit www.equatorcoffees.com or call 800-809-7687 for more information.",Light,"San Rafael, California",San Rafael, California,
932,Yemen Mocha Haimi,93.0,8.0,8.0,9.0,9.0,9.0,"Quietly complex, gently bright. Macadamia nut, baking chocolate, magnolia, blackberry, cedar in aroma and cup. Sweet-toned structure with gentle, round acidity; full, syrupy mouthfeel. The resonant finish centers around notes of crisp chocolate and cedar.","Al Hayma District, Sana’a Governorate, Yemen",$40.00/8 ounces,"Produced by smallholding farmers from trees of the Dwairi and Tufahi varieties of Arabica and processed by the natural method (sun-dried in the whole fruit). Dragonfly Coffee, named 2019 Micro-Roaster of the Year by Roast magazine, is now based in Henderson, Nevada. Visit dragonflycoffeeroasters.com or call 303-579-2154 for more information.",Medium-Light,"Henderson, Nevada",Henderson, Nevada,
933,Yemen Mokha Matari,93.0,9.0,8.0,9.0,8.0,9.0,"Sweetly pungent, chocolate-driven, richly earth-toned. Dark chocolate, lavender, cedar, persimmon, sarsaparilla in aroma and cup. Balanced, pleasingly bittersweet structure with bright acidity; satiny mouthfeel. The finish consolidates to notes of dark chocolate and sarsaparilla.","Bani Matar, Sana’a Governorate, Yemen",$10.00/4 ounces,"Produced by smallholding farmers in the Bani Matar District from trees of local landrace varieties of Arabica, and processed by the natural method (sun-dried in the whole fruit). Collage works with local artists to promote fine arts in its region and values serving its community. This coffee is available for purchase at the Collage store and cafe, 221 South Broad Street, Grove City, Pennsylvania.",Medium-Light,"Grove City, Pennsylvania",Grove City, Pennsylvania,
934,Yemen Port of Mokha Al-Jabal,94.0,9.0,8.0,9.0,9.0,9.0,"Big, nuanced, multi-faceted. Fresh black currant, bergamot, pink grapefruit, sandalwood, maple syrup in aroma and cup. Deeply sweet with bright, juicy-tart acidity; crisply satiny mouthfeel. Delicately sweet, citrusy finish with sandalwood undertones.","Jabal Haraz, Sana’a Governorate, Yemen",$29.99/5 ounces,"Produced by smallholding farmers mainly from the Udaini variety of Arabica and processed by the natural method (sun-dried in the whole fruit). Imported by Port of Mokha. Chromatic prides itself in doing everything in-house and meticulously, from printing its attractive bags to modifying equipment to sourcing and roasting its exceptional coffees. Visit www.chromaticcoffee.com for more information.",Medium-Light,"San Jose, California",San Jose, California,
936,Yemen Sheba Auction Lot 1: Wadi Al Mahjr,95.0,9.0,9.0,9.0,9.0,9.0,"Focused, gently bright, complex. Dried goji berry, vanilla bean, clementine, baking chocolate, fresh-cut oak, lemon verbena in aroma and cup. Balanced structure (sweet, tart, savory) with richly pungent but juicy acidity; plushly syrupy mouthfeel. Deep and multi-layered in the finish.","Al Mahjr, Al Hayma District, Yemen",NT $500/4 ounces,"This exceptional coffee was selected as the No. 22 coffee on Coffee Review’s list of the Top 30 Coffees of 2021. Produced by smallholding farmers from trees of the Udaini, Tufahi and  Dwairi varieties of Arabica and processed by the natural method (sun-dried in the whole fruit). Exported by Sheba Coffee. Euphora Coffee is a Taipei-based specialty coffee roaster with an active online community through which all sales are made. Visit www.euphoracoffeestudio.com for more information.",Medium-Light,"Taipei, Taiwan",Taipei, Taiwan,
938,414 Kenya SL34,92.0,8.0,8.0,9.0,8.0,9.0,"Chocolaty, crisply sweet. Baking chocolate, date, almond, cedar, agave syrup in aroma and cup. Sweet structure with pert acidity; satiny mouthfeel. The finish centers around notes of baking chocolate and almond with cedar undertones.",Kenya,NT $200/453 grams,"Despite grower discontent, unclear government coffee policy and urban encroachment on prime coffee lands, the famed Kenya coffee auction system and its participating cooperatives continue to produce some of the world's most elegant and distinctive coffees. Mr. Chao Coffee is a subsidiary of Intekeco Co., Ltd, based in New Taipei City, Taiwan, which provides both green and roasted coffee to wholesale and retail clients. Visit https://chao-coffee.webnode.tw/zh-tw/ for more information.",Medium-Light,"New Taipei City, Taiwan",New Taipei City, Taiwan,
939,FTO Ethiopian,92.0,8.0,8.0,9.0,8.0,9.0,"Deep-toned, sweet, chocolaty. Baking chocolate, golden raisin, molasses, baking spices, fresh-cut cedar in aroma and cup. Sweet structure with gentle, round acidity; very full, velvety mouthfeel. Crisply sweet, chocolaty finish.","Yirgacheffe growing region, southern Ethiopia",$13.95/12 ounces,Coffees from the Yirgacheffe region are largely produced from distinctive Ethiopian landrace varieties of Arabica long grown in the region. Certified USDA Organic and fair trade. Processed by the wet or washed method (fruit skin and pulp are removed before drying). Mystic Monk Coffee is a small-batch roaster associated with a Carmelite monastery located in the Rocky Mountains of northern Wyoming. The monks emphasize an artisan approach to roasting and a commitment to quality. Visit www.mysticmonkcoffee.com or call 877-751-6377 for more information.,Medium-Light,"Meeteetse, Wyoming",Meeteetse, Wyoming,
940,Indonesian Island Blend,92.0,8.0,8.0,8.0,9.0,9.0,"Earthy-rich, deep-toned. The odor of oak forest, dark chocolate, hazelnut butter, magnolia, orange zest in aroma and cup. Richly bittersweet structure with brisk acidity; plush, creamy mouthfeel. The sweet finish centers around notes of dark chocolate and aromatic oak.","Java, Flores and Sumatra, Indonesia",$14.99/12 ounces,"A blend of coffees from the Indonesian islands of Java, Flores and Sumatra. Mystic Monk Coffee is a small-batch roaster associated with a Carmelite monastery located in the Rocky Mountains of northern Wyoming. The monks emphasize an artisan approach to roasting and a commitment to quality. Visit www.mysticmonkcoffee.com or call 877-751-6377 for more information.",Medium,"Meeteetse, Wyoming",Meeteetse, Wyoming,
941,Ethiopia Guji Sakicha JH144,93.0,8.0,8.0,9.0,9.0,9.0,"Sweetly fruit-driven, richly aromatic. Lychee, hop flowers, cocoa nib, thyme, agave syrup in aroma and cup. Sweet-savory structure with bittersweet acidity; full, syrupy-smooth mouthfeel. The finish centers around notes of lychee and hop flowers with cocoa undertones.","Guji Zone, Oromia Region, Ethiopia",NT $450/115 grams,"Guji is a coffee-growing region nestled next to Ethiopia's better-known Yirgacheffe and Sidamo regions. Guji coffees are largely produced from distinctive landrace varieties of Arabica long grown there. Processed by the washed method (fruit skin and pulp are removed before drying). Coffee Please is an artisanal roastery and cafe in Taipei’s Beitou District, famous for its proximity to the Yangming Mountain hot springs. Visit www.facebook.com/CoffeepleaseTW for more information.",Medium-Light,"Taipei, Taiwan",Taipei, Taiwan,
942,Elida Estate ASD Natural Catuai 15,94.0,9.0,8.0,9.0,9.0,9.0,"Intensely aromatic, richly fruit-driven. Dark chocolate, fermented pomegranate juice, gardenia, sassafras, Meyer lemon zest in aroma and cup. Sweet-savory structure with richly bittersweet, juicy acidity; syrupy-smooth mouthfeel. Chocolaty and floral in the finish with a deliberate hint of ferment.","Boquete growing region, western Panama",$30.00/12 ounces,"Produced by the Lamastus family of Elida Estate entirely from the Catuaí variety of Arabica and processed by the anaerobic slow-dry (ASD) natural method (whole fruit is fermented with limited oxygen and dried for over 60 days). Now based in Henderson, Nevada, Dragonfly Coffee was named 2019 Micro-Roaster of the Year by Roast magazine. Visit www.dragonflycoffeeroasters.com or call 303-579-2154 for more information.",Medium-Light,"Henderson, Nevada",Henderson, Nevada,
943,Banko Gotiti Natural,93.0,8.0,8.0,9.0,9.0,9.0,"Intensely fruit-driven, richly sweet-tart. Raspberry jam, maple syrup, cocoa nib, fresh-cut fir, jasmine in aroma and cup. Sweet-toned structure with gently tart acidity; plush, syrupy mouthfeel. Fruit-toned finish with undertones of maple syrup and fir.","Kochere, Yirgacheffe growing region, Ethiopia",$20.00/12 ounces,Southern Ethiopia coffees like this one are produced from distinctive traditional Ethiopian landrace varieties of Arabica long grown in the region. Processed by the natural method (dried in the whole fruit). JBC Coffee Roasters’ vision is simple: “let the coffee lead the way” through sourcing and roasting the best and most unique coffees available and rewarding the farmers who grow those coffees with substantial premiums. Visit www.jbccoffeeroasters.com or call 608-256-5282 for more information.,Medium-Light,"Madison, Wisconsin",Madison, Wisconsin,
